username, created_at, lng, lat, text
Superdupermarx, Thu Jan 28 07:22:05 +0000 2021, -80.233328, 25.782353, @peachyriya Say so this was a juice video, can I have a side of that salsa and a side of creamies. Thank you lol 
_WealthyMal, Thu Jan 28 07:22:05 +0000 2021, -83.099288, 42.352787, Ima always keep it 100 
lilaaaayy, Thu Jan 28 07:22:05 +0000 2021, -117.462698, 34.108160, I’m dead 🤣 
HOTTERTHANJUL1O, Thu Jan 28 07:22:05 +0000 2021, -83.173867, 32.678207, https://t.co/DjR5uAL6pB 
kishenybarot, Thu Jan 28 07:22:05 +0000 2021, -74.158130, 40.859832, @grlarndtheblock https://t.co/VKxiuZGhyc 
thankfullymeks, Thu Jan 28 07:22:06 +0000 2021, -117.022695, 38.502147, @chuckwoolery @Quadman22 I’m getting sick in tired of the #Democrats! All they are doing is bullying!They are feedi… https://t.co/XaAADy352w 
lakshitha268, Thu Jan 28 07:22:07 +0000 2021, -83.099288, 42.352787, @nipuna__d @unknown_lankan @sasini0211 @PraveenNadeera @jimpapz 😑😑😑😑 
mininocastillo, Thu Jan 28 07:22:07 +0000 2021, -80.132962, 25.816966, @RyanAFournier https://t.co/4Ke6d8kujZ 
SRHSCareers, Thu Jan 28 07:22:07 +0000 2021, -81.932048, 34.949567, We're hiring! Read about our latest job opening here: CNA- Home Health/Hospice - https://t.co/6SwO6QjFyC… https://t.co/ECYcoR1wcN 
vai150, Thu Jan 28 07:22:07 +0000 2021, -97.935192, 29.895606, 1:21 into being 30... so far it’s like your 20’s but being called old all the time. 
amiranaamo1, Thu Jan 28 07:22:07 +0000 2021, -119.306608, 37.269176, @sduhayyan1 جميله 🌷 
JFLapham, Thu Jan 28 07:22:08 +0000 2021, -115.223125, 36.232915, @FoodNetwork @GuyFieri Team @jettila all the way!! Well maybe also @chefantonia also 😬 
J_Deuce1, Thu Jan 28 07:22:08 +0000 2021, -95.446486, 29.838495, Ahhh.. Now I get it. 
MarlitosF81, Thu Jan 28 07:22:08 +0000 2021, -73.829384, 40.912499, Camisa comemorativa do Cássio pra hoje está 🔥🔥🔥-Bela homenagem a ele pela marca dos 500 jogos, e suas conquistas... 
muchoniwendy, Thu Jan 28 07:22:08 +0000 2021, -117.975154, 34.094001, "The crops are coming in nicely this season", I say as I stroke my leg hair 
lindsgayh, Thu Jan 28 07:22:09 +0000 2021, -119.306608, 37.269176, @dylntodd @emtacolor you know I gotchu!! hope you’re doing well friend💘 
BobbyBounce, Thu Jan 28 07:22:09 +0000 2021, -75.770041, 42.746617, Shout out @HowardStern @rqui @sternshow Always got this show on 📡💯 #FanForLife #YearsOfJoy https://t.co/PTN06yblw0 
earftones, Thu Jan 28 07:22:10 +0000 2021, -91.090800, 30.459100, @AfroJediii my body’s falling asleep fast as hell lol 
ghhabib_fa, Thu Jan 28 07:22:10 +0000 2021, -79.913521, 43.260695, @NegarGChi البته ما علوم کامپيوتري ‌ها دلمون از پایتون خونه، گرچه زبان برنامه نویسی کارآمدی هست، اما باگ‌های محاسبا… https://t.co/RJ9aX1yqK4 
WilliamDaleHal3, Thu Jan 28 07:22:10 +0000 2021, -97.552161, 35.482844, My fellow American are we gonna be filled with hate again today. Are used to say it was a left wing of our governme… https://t.co/KNHXZqqWjh 
CadeBock, Thu Jan 28 07:22:10 +0000 2021, -111.738566, 33.295215, If you truly perceive everyone else as having it better than you in every way then you are not a happy person and v… https://t.co/1vU3kYzMlC 
